Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 01:23:25 PM,1.8595,102.5276,↘ 126°,430,495,27000,110, FlightAware ADS-B (QPG / WSAP)
Thu 01:23:58 PM,1.8195,102.5819,↘ 126°,441,507,26975,, FlightAware ADS-B (SZB / WMSA)
Thu 01:24:28 PM,1.7829,102.6315,↘ 126°,439,505,27000,25, FlightAware ADS-B (SZB / WMSA)
Thu 01:24:58 PM,1.7471,102.6803,↘ 126°,439,505,27000,, FlightAware ADS-B (SZB / WMSA)
Thu 01:25:29 PM,1.7097,102.731,↘ 126°,441,507,27000,-48, FlightAware ADS-B (QPG / WSAP)
Thu 01:26:00 PM,1.6721,102.7819,↘ 126°,439,505,26950,-524, FlightAware ADS-B (MKZ / WMKM)
Thu 01:26:32 PM,1.635,102.8327,↘ 126°,423,487,26450,-1089, FlightAware ADS-B (JHB / WMKJ)
Thu 01:27:02 PM,1.5985,102.8775,↘ 132°,409,471,25825,-1700, FlightAware ADS-B (WMAP)
Thu 01:27:32 PM,1.5607,102.9194,↘ 132°,402,463,24750,-1725, FlightAware ADS-B (WMAP)
Thu 01:28:02 PM,1.5244,102.9598,↘ 132°,390,449,24100,-1050, FlightAware ADS-B (XSP / WSSL)
Thu 01:28:32 PM,1.4888,102.9992,↘ 132°,366,421,23700,-1100, FlightAware ADS-B (WMAP)
Thu 01:29:02 PM,1.4559,103.0357,↘ 132°,357,411,23000,-1550, FlightAware ADS-B (XSP / WSSL)
Thu 01:29:32 PM,1.4236,103.0716,↘ 132°,353,406,22150,-1718, FlightAware ADS-B (WSAG)
Thu 01:30:04 PM,1.3859,103.1136,↘ 132°,346,398,21225,-1638, FlightAware ADS-B (XSP / WSSL)
Thu 01:30:37 PM,1.3531,103.1499,↘ 132°,340,391,20375,-1548, FlightAware ADS-B (MKZ / WMKM)
Thu 01:31:07 PM,1.322,103.1843,↘ 132°,335,386,19600,-1500, FlightAware ADS-B (JHB / WMKJ)
Thu 01:31:37 PM,1.2907,103.2192,↘ 132°,327,376,18875,-1575, FlightAware ADS-B (WSAG)
Thu 01:32:07 PM,1.2606,103.2524,↘ 132°,326,375,18025,-1650, FlightAware ADS-B (MKZ / WMKM)
Thu 01:32:27 PM,1.2377,103.2717,↘ 147°,324,373,17500,-1440, FlightAware ADS-B (JHB / WMKJ)
Thu 01:32:57 PM,1.1993,103.2941,↘ 150°,317,365,16825,-1350, FlightAware ADS-B (JHB / WMKJ)
Thu 01:33:27 PM,1.1618,103.316,↘ 150°,311,358,16150,-1425, FlightAware ADS-B (JHB / WMKJ)
Thu 01:33:57 PM,1.124,103.3379,↘ 150°,307,353,15400,-1450, FlightAware ADS-B (TGA / WSAT)
Thu 01:34:27 PM,1.088,103.3587,↘ 150°,303,349,14700,-1175, FlightAware ADS-B (QPG / WSAP)
Thu 01:34:57 PM,1.0521,103.3795,↘ 150°,289,333,14225,-775, FlightAware ADS-B (WSAG)
Thu 01:35:27 PM,1.0184,103.399,↘ 150°,273,314,13925,-575, FlightAware ADS-B (WSAG)
Thu 01:35:57 PM,0.9872,103.4171,↘ 150°,257,296,13650,-582, FlightAware ADS-B (QPG / WSAP)
Thu 01:36:16 PM,0.9669,103.4271,↓ 160°,248,285,13450,-868, FlightAware ADS-B (WSAG)
Thu 01:36:35 PM,0.9439,103.427,↓ 193°,255,293,13100,-1114, FlightAware ADS-B (WSAG)
Thu 01:36:51 PM,0.928,103.4176,↙ 221°,266,306,12800,-1172, FlightAware ADS-B (JHB / WMKJ)
Thu 01:37:07 PM,0.9176,103.4003,← 247°,274,315,12475,-1200, FlightAware ADS-B (WSAG)
Thu 01:37:26 PM,0.9182,103.3765,← 284°,279,321,12100,-1354, FlightAware ADS-B (WSAG)
Thu 01:37:48 PM,0.9361,103.3546,↖ 325°,276,318,11550,-1240, FlightAware ADS-B (JHB / WMKJ)
Thu 01:38:18 PM,0.9693,103.3354,↖ 329°,275,316,11025,-955, FlightAware ADS-B (JHB / WMKJ)
Thu 01:38:43 PM,0.9958,103.3196,↖ 331°,266,306,10675,-1067, FlightAware ADS-B (QPG / WSAP)
Thu 01:39:03 PM,1.0196,103.3155,↑ 360°,264,304,10225,-821, FlightAware ADS-B (QPG / WSAP)
Thu 01:39:25 PM,1.042,103.3269,↗ 44°,249,287,10100,-231, FlightAware ADS-B (QPG / WSAP)
Thu 01:39:42 PM,1.0517,103.3436,→ 71°,242,278,10075,, FlightAware ADS-B (JHB / WMKJ)
Thu 01:39:59 PM,1.0528,103.3616,→ 98°,237,273,10100,41, FlightAware ADS-B (XSP / WSSL)
Thu 01:40:19 PM,1.0432,103.3811,↘ 129°,234,269,10100,, FlightAware ADS-B (WSAG)
Thu 01:41:02 PM,1.0039,103.4065,↘ 149°,233,268,10100,-21, FlightAware ADS-B (WSAG)
Thu 01:41:31 PM,0.9775,103.4229,↘ 145°,231,266,10075,, FlightAware ADS-B (TGA / WSAT)
Thu 01:41:49 PM,0.967,103.4393,→ 110°,240,276,10100,31, FlightAware ADS-B (SIN / WSSS)
Thu 01:42:19 PM,0.9592,103.47,→ 103°,230,265,10100,, FlightAware ADS-B (WSAG)
Thu 01:42:52 PM,0.951,103.5052,→ 103°,229,264,10100,, FlightAware ADS-B (XSP / WSSL)
Thu 01:43:22 PM,0.9437,103.5356,→ 104°,231,266,10100,, FlightAware ADS-B (JHB / WMKJ)
Thu 01:43:52 PM,0.9362,103.5668,→ 104°,230,265,10100,, FlightAware ADS-B (WSAG)
Thu 01:44:22 PM,0.9285,103.5981,→ 104°,232,267,10100,, FlightAware ADS-B (JHB / WMKJ)
Thu 01:44:52 PM,0.9206,103.6299,→ 104°,230,265,10100,, FlightAware ADS-B (XSP / WSSL)
Thu 01:45:22 PM,0.9129,103.6602,→ 104°,229,264,10100,, FlightAware ADS-B (JHB / WMKJ)
Thu 01:45:52 PM,0.905,103.6912,→ 104°,231,266,10100,-33, FlightAware ADS-B (WSAG)
Thu 01:46:08 PM,0.9023,103.7087,→ 92°,233,268,10075,-45, FlightAware ADS-B (JHB / WMKJ)
Thu 01:46:25 PM,0.9042,103.7265,→ 82°,236,272,10075,-574, FlightAware ADS-B (WSAG)
Thu 01:46:55 PM,0.9089,103.7589,→ 82°,238,274,9625,-950, FlightAware ADS-B (WSAG)
Thu 01:47:25 PM,0.9134,103.7918,→ 83°,237,273,9125,-815, FlightAware ADS-B (SIN / WSSS)
Thu 01:47:41 PM,0.9156,103.8089,→ 83°,237,273,9000,-946, FlightAware ADS-B (WSAG)
Thu 01:48:11 PM,0.9197,103.8415,→ 83°,238,274,8400,-1213, FlightAware ADS-B (TGA / WSAT)
Thu 01:48:28 PM,0.9229,103.8593,→ 73°,237,273,8050,-1286, FlightAware ADS-B (QPG / WSAP)
Thu 01:48:46 PM,0.9365,103.8755,↗ 37°,241,277,7650,-1292, FlightAware ADS-B (WSAC)
Thu 01:49:04 PM,0.9567,103.8802,↑ 4°,248,285,7275,-825, FlightAware ADS-B (SIN / WSSS)
Thu 01:49:26 PM,0.9808,103.8796,↑ 358°,238,274,7100,-490, FlightAware ADS-B (WSAC)
Thu 01:49:56 PM,1.0123,103.8783,↑ 358°,217,250,6850,-700, FlightAware ADS-B (JHB / WMKJ)
Thu 01:50:26 PM,1.0409,103.8772,↑ 358°,209,241,6400,-1000, FlightAware ADS-B (JHB / WMKJ)
Thu 01:50:56 PM,1.0705,103.8761,↑ 358°,209,241,5850,-966, FlightAware ADS-B (XSP / WSSL)
Thu 01:51:25 PM,1.0985,103.8756,↑ 4°,199,229,5450,-750, FlightAware ADS-B (WSAG)
Thu 01:51:44 PM,1.1145,103.8792,↑ 17°,181,208,5250,-1125, FlightAware ADS-B (SIN / WSSS)
Thu 01:52:05 PM,1.1308,103.8854,↗ 22°,184,212,4700,-1412, FlightAware ADS-B (XSP / WSSL)
Thu 01:52:35 PM,1.1549,103.8955,↗ 23°,186,214,4050,-1175, FlightAware ADS-B (QPG / WSAP)
Thu 01:53:05 PM,1.1787,103.9055,↗ 23°,185,213,3525,-925, FlightAware ADS-B (JHB / WMKJ)
Thu 01:53:35 PM,1.2027,103.9156,↗ 23°,185,213,3125,-925, FlightAware ADS-B (JHB / WMKJ)
Thu 01:54:05 PM,1.2259,103.9255,↗ 23°,184,212,2600,-925, FlightAware ADS-B (WSAG)
Thu 01:54:35 PM,1.2486,103.935,↗ 23°,164,189,2200,-825, FlightAware ADS-B (JHB / WMKJ)
Thu 01:55:05 PM,1.2692,103.9438,↗ 23°,156,180,1775,-800, FlightAware ADS-B (SIN / WSSS)
Thu 01:55:35 PM,1.2881,103.9517,↗ 23°,153,176,1400,-771, FlightAware ADS-B (WSAG)
Thu 01:55:40 PM,1.292,103.9534,↗ 23°,154,177,1325,-750, Surface and Near-Surface
Thu 01:55:51 PM,1.2984,103.9561,↗ 23°,149,171,1200,-696, FlightAware ADS-B (WSAG)
Thu 01:56:08 PM,1.3091,103.9605,↗ 23°,146,168,1000,-750, FlightAware ADS-B (QPG / WSAP)
Thu 01:56:25 PM,1.3199,103.9651,↗ 23°,146,168,775,-773, FlightAware ADS-B (XSP / WSSL)
Thu 01:56:41 PM,1.3301,103.9695,↗ 23°,149,171,575,-750, FlightAware ADS-B (WSAG)
Thu 01:56:57 PM,1.3406,103.9739,↗ 23°,152,175,375,-773, FlightAware ADS-B (JHB / WMKJ)
Thu 01:57:14 PM,1.3513,103.9785,↗ 23°,152,175,150,-441, FlightAware ADS-B (QPG / WSAP)
Thu 01:57:31 PM,1.3617,103.9828,↑ 21°,123,142,125,-88, FlightAware ADS-B (SIN / WSSS)
Thu 01:58:39 PM    Arrival (SIN) @ Thursday 01:58:39 PM +08,,,,,,,, FlightAware
Taxi Time: 8 minutes,,,,,,,,
Thu 02:07:00 PM    Gate Arrival (SIN) @ Thursday 02:07:00 PM +08,,,,,,,, Airline
,,,,,,,,
Wed 01:03:00 PM    Left Gate (KUL) @ Wednesday 01:03:00 PM +08,,,,,,,, Airline
Taxi Time: 14 minutes,,,,,,,,
Wed 01:17:32 PM    Departure (KUL) @ Wednesday 01:17:32 PM +08,,,,,,,, Surface and Near-Surface
Wed 01:17:32 PM,2.7356,101.6792,↖ 326°,162,186,400,, Surface and Near-Surface
Wed 01:17:48 PM,2.7463,101.6722,↖ 326°,173,199,950,1843, FlightAware ADS-B (KUL / WMKK)
Wed 01:18:07 PM,2.7587,101.662,← 310°,196,226,1475,1757, FlightAware ADS-B (SZB / WMSA)
Wed 01:18:23 PM,2.7633,101.6472,← 275°,217,250,1975,2071, FlightAware ADS-B (KUL / WMKK)
Wed 01:18:49 PM,2.7633,101.6186,← 269°,253,291,2925,1602, FlightAware ADS-B (KUL / WMKK)
Wed 01:19:07 PM,2.7612,101.5967,← 255°,270,311,3150,750, FlightAware ADS-B (SZB / WMSA)
Wed 01:19:23 PM,2.7512,101.5798,↙ 226°,274,315,3350,727, FlightAware ADS-B (SZB / WMSA)
Wed 01:19:40 PM,2.733,101.5693,↓ 198°,278,320,3550,1333, FlightAware ADS-B (SZB / WMSA)
Wed 01:19:59 PM,2.708,101.5704,↓ 167°,277,319,4150,2780, FlightAware ADS-B (SZB / WMSA)
Wed 01:20:21 PM,2.6794,101.5759,↓ 174°,284,327,5450,3750, FlightAware ADS-B (KUL / WMKK)
Wed 01:20:49 PM,2.6418,101.5759,↓ 179°,283,326,7275,3474, FlightAware ADS-B (SZB / WMSA)
Wed 01:21:18 PM,2.6059,101.5851,↓ 159°,292,336,8750,2797, FlightAware ADS-B (SZB / WMSA)
Wed 01:22:03 PM,2.547,101.6069,↓ 160°,315,362,10725,2500, FlightAware ADS-B (KUL / WMKK)
Wed 01:22:33 PM,2.5042,101.6228,↓ 160°,336,387,11875,2576, FlightAware ADS-B (SZB / WMSA)
Wed 01:22:49 PM,2.4809,101.6327,↘ 150°,337,388,12700,3043, FlightAware ADS-B (SZB / WMSA)
Wed 01:23:08 PM,2.4606,101.652,↘ 122°,332,382,13650,2816, FlightAware ADS-B (WMBF)
Wed 01:23:38 PM,2.439,101.6938,↘ 117°,342,394,15000,2675, FlightAware ADS-B (WMBF)
Wed 01:24:08 PM,2.4165,101.7371,↘ 117°,349,402,16325,2800, FlightAware ADS-B (WMBF)
Wed 01:24:38 PM,2.394,101.7814,↘ 117°,350,403,17800,2656, FlightAware ADS-B (KUL / WMKK)
Wed 01:25:09 PM,2.3713,101.8259,↘ 117°,356,410,19025,2311, FlightAware ADS-B (QPG / WSAP)
Wed 01:25:39 PM,2.3487,101.8704,↘ 117°,363,418,20150,1784, FlightAware ADS-B (KUL / WMKK)
Wed 01:26:07 PM,2.3274,101.9122,↘ 119°,367,422,20750,1085, FlightAware ADS-B (SZB / WMSA)
Wed 01:26:26 PM,2.3084,101.9382,↘ 133°,375,432,21000,1714, FlightAware ADS-B (SZB / WMSA)
Wed 01:26:56 PM,2.2695,101.9736,↘ 138°,377,434,22150,2175, FlightAware ADS-B (SZB / WMSA)
Wed 01:27:26 PM,2.2304,102.0096,↘ 137°,382,440,23175,2077, FlightAware ADS-B (SZB / WMSA)
Wed 01:27:48 PM,2.2023,102.0367,↘ 133°,384,442,23950,1500, FlightAware ADS-B (SZB / WMSA)
Wed 01:28:31 PM,2.1553,102.0991,↘ 126°,387,445,24800,851, FlightAware ADS-B (PKU / WIBB)
Wed 01:29:02 PM,2.1241,102.1418,↘ 126°,372,428,25000,197, FlightAware ADS-B (WMAV)
Wed 01:29:32 PM,2.0941,102.183,↘ 126°,373,429,25000,, FlightAware ADS-B (WMAV)
Wed 01:30:02 PM,2.0632,102.2254,↘ 126°,372,428,25000,, FlightAware ADS-B (WMAV)
Wed 01:30:32 PM,2.0334,102.2662,↘ 126°,371,427,25000,, FlightAware ADS-B (WMAV)
Wed 01:31:02 PM,2.0017,102.3103,↘ 123°,372,428,25000,, FlightAware ADS-B (PKU / WIBB)
Wed 01:31:19 PM,1.989,102.3336,↘ 116°,373,429,25000,31, FlightAware ADS-B (QPG / WSAP)
Wed 01:31:51 PM,1.9656,102.383,↘ 116°,374,430,25025,47, FlightAware ADS-B (WMAV)
Wed 01:32:23 PM,1.9407,102.435,↘ 115°,374,430,25050,24, FlightAware ADS-B (PKU / WIBB)
Wed 01:32:53 PM,1.9186,102.4815,↘ 115°,373,429,25050,, FlightAware ADS-B (PKU / WIBB)
Wed 01:33:23 PM,1.896,102.5288,↘ 115°,372,428,25050,-25, FlightAware ADS-B (PKU / WIBB)
Wed 01:33:53 PM,1.8739,102.5756,↘ 115°,370,426,25025,-53, FlightAware ADS-B (PKU / WIBB)
Wed 01:34:20 PM,1.8539,102.616,↘ 119°,370,426,25000,-30, FlightAware ADS-B (MKZ / WMKM)
Wed 01:34:43 PM,1.833,102.6472,↘ 126°,370,426,25000,-28, FlightAware ADS-B (XSP / WSSL)
Wed 01:35:13 PM,1.8016,102.69,↘ 126°,369,425,24975,-25, FlightAware ADS-B (WSAG)
Wed 01:35:43 PM,1.7718,102.7304,↘ 126°,368,423,24975,, FlightAware ADS-B (WSAG)
Wed 01:36:17 PM,1.7358,102.779,↘ 126°,367,422,24975,23, FlightAware ADS-B (PKU / WIBB)
Wed 01:36:48 PM,1.7068,102.8183,↘ 126°,348,400,25000,25, FlightAware ADS-B (QPG / WSAP)
Wed 01:37:18 PM,1.6789,102.8561,↘ 126°,341,392,25000,, FlightAware ADS-B (QPG / WSAP)
Wed 01:37:49 PM,1.65,102.8957,↘ 126°,344,396,25000,, FlightAware ADS-B (WMAP)
Wed 01:38:14 PM,1.6262,102.9285,↘ 124°,345,397,25000,, FlightAware ADS-B (SZB / WMSA)
Wed 01:38:33 PM,1.6142,102.9553,→ 104°,346,398,25000,, FlightAware ADS-B (SIN / WSSS)
Wed 01:38:53 PM,1.6123,102.9878,→ 88°,349,402,25000,, FlightAware ADS-B (SIN / WSSS)
Wed 01:39:27 PM,1.6134,103.0445,→ 89°,349,402,25000,-30, FlightAware ADS-B (WSAG)
Wed 01:39:43 PM,1.6126,103.0711,→ 97°,348,400,24975,-423, FlightAware ADS-B (WSAG)
Wed 01:40:06 PM,1.601,103.1049,↘ 120°,346,398,24725,-667, FlightAware ADS-B (WSAG)
Wed 01:40:28 PM,1.5784,103.1302,↘ 141°,347,399,24475,-659, FlightAware ADS-B (SZB / WMSA)
Wed 01:40:47 PM,1.55,103.1453,↓ 158°,352,405,24275,-612, FlightAware ADS-B (QPG / WSAP)
Wed 01:41:17 PM,1.5056,103.1632,↓ 158°,349,402,23975,-664, FlightAware ADS-B (WSAG)
Wed 01:41:48 PM,1.4606,103.1814,↓ 158°,345,397,23600,-1279, FlightAware ADS-B (WSAG)
Wed 01:42:18 PM,1.4172,103.1988,↓ 158°,340,391,22675,-2075, FlightAware ADS-B (XSP / WSSL)
Wed 01:42:48 PM,1.3714,103.217,↓ 158°,337,388,21525,-2419, FlightAware ADS-B (DJB / WIJJ)
Wed 01:43:20 PM,1.3254,103.2353,↓ 158°,341,392,20175,-2357, FlightAware ADS-B (TGA / WSAT)
Wed 01:43:51 PM,1.2806,103.2531,↓ 158°,336,387,19050,-2160, FlightAware ADS-B (WSAC)
Wed 01:44:10 PM,1.2524,103.2647,↓ 156°,330,380,18375,-2125, FlightAware ADS-B (TGA / WSAT)
Wed 01:44:27 PM,1.229,103.2773,↘ 149°,323,372,17775,-1309, FlightAware ADS-B (JHB / WMKJ)
Wed 01:44:57 PM,1.1907,103.2995,↘ 150°,303,349,17350,-836, FlightAware ADS-B (JHB / WMKJ)
Wed 01:45:28 PM,1.1555,103.3197,↘ 150°,287,330,16925,-968, FlightAware ADS-B (JHB / WMKJ)
Wed 01:45:59 PM,1.1208,103.3399,↘ 150°,279,321,16350,-1254, FlightAware ADS-B (QPG / WSAP)
Wed 01:46:29 PM,1.0871,103.3594,↘ 150°,276,318,15650,-1405, FlightAware ADS-B (QPG / WSAP)
Wed 01:47:02 PM,1.0514,103.38,↘ 150°,273,314,14875,-1405, FlightAware ADS-B (TGA / WSAT)
Wed 01:47:32 PM,1.0186,103.399,↘ 150°,270,311,14175,-1358, FlightAware ADS-B (TGA / WSAT)
Wed 01:47:55 PM,0.993,103.414,↘ 147°,263,303,13675,-1500, FlightAware ADS-B (JHB / WMKJ)
Wed 01:48:17 PM,0.977,103.4326,↘ 112°,261,300,13050,-1408, FlightAware ADS-B (SIN / WSSS)
Wed 01:49:00 PM,0.9716,103.4837,→ 95°,250,288,12150,-1274, FlightAware ADS-B (QPG / WSAP)
Wed 01:49:30 PM,0.9685,103.5172,→ 95°,248,285,11500,-1475, FlightAware ADS-B (JHB / WMKJ)
Wed 01:50:00 PM,0.9655,103.5537,→ 95°,249,287,10675,-1578, FlightAware ADS-B (JHB / WMKJ)
Wed 01:50:28 PM,0.966,103.5848,→ 85°,249,287,9975,-1500, FlightAware ADS-B (XSP / WSSL)
Wed 01:50:58 PM,0.9689,103.6184,→ 86°,251,289,9225,-1350, FlightAware ADS-B (QPG / WSAP)
Wed 01:51:28 PM,0.9716,103.6533,→ 86°,250,288,8625,-1225, FlightAware ADS-B (QPG / WSAP)
Wed 01:51:58 PM,0.9738,103.689,→ 87°,245,282,8000,-1325, FlightAware ADS-B (WSAG)
Wed 01:52:28 PM,0.9754,103.7228,→ 88°,247,284,7300,-925, FlightAware ADS-B (QPG / WSAP)
Wed 01:52:58 PM,0.9769,103.7546,→ 87°,243,280,7075,-750, FlightAware ADS-B (XSP / WSSL)
Wed 01:53:14 PM,0.9782,103.7734,→ 81°,242,278,6725,-1346, FlightAware ADS-B (QPG / WSAP)
Wed 01:53:37 PM,0.9903,103.796,↗ 52°,236,272,6200,-1104, FlightAware ADS-B (XSP / WSSL)
Wed 01:54:07 PM,1.01,103.8207,↗ 52°,217,250,5750,-1163, FlightAware ADS-B (TGA / WSAT)
Wed 01:54:26 PM,1.0219,103.8347,↗ 44°,216,249,5250,-1629, FlightAware ADS-B (XSP / WSSL)
Wed 01:54:42 PM,1.0356,103.8441,↗ 28°,216,249,4800,-1257, FlightAware ADS-B (WSAG)
Wed 01:55:03 PM,1.0536,103.8527,↗ 24°,206,237,4475,-794, FlightAware ADS-B (WSAG)
Wed 01:55:33 PM,1.0793,103.8635,↗ 23°,192,221,4125,-725, FlightAware ADS-B (WSAG)
Wed 01:56:03 PM,1.1041,103.874,↗ 23°,188,216,3750,-600, FlightAware ADS-B (WSAG)
Wed 01:56:33 PM,1.1273,103.8838,↗ 23°,188,216,3525,-475, FlightAware ADS-B (QPG / WSAP)
Wed 01:57:03 PM,1.1514,103.894,↗ 23°,182,209,3275,-489, FlightAware ADS-B (XSP / WSSL)
Wed 01:57:19 PM,1.1647,103.8996,↗ 23°,179,206,3150,-457, FlightAware ADS-B (WSAG)
Wed 01:57:49 PM,1.1873,103.9091,↗ 23°,186,214,2925,-475, FlightAware ADS-B (XSP / WSSL)
Wed 01:58:19 PM,1.211,103.9191,↗ 23°,184,212,2675,-475, FlightAware ADS-B (TGA / WSAT)
Wed 01:58:49 PM,1.235,103.9294,↗ 23°,179,206,2450,-650, FlightAware ADS-B (QPG / WSAP)
Wed 01:59:19 PM,1.2567,103.9384,↗ 23°,159,183,2025,-775, FlightAware ADS-B (WSAG)
Wed 01:59:49 PM,1.2746,103.946,↗ 23°,130,150,1675,-667, FlightAware ADS-B (QPG / WSAP)
Wed 02:00:22 PM,1.2921,103.9534,↗ 23°,124,143,1325,-620, Surface and Near-Surface
Wed 02:00:35 PM,1.2987,103.9562,↗ 23°,125,144,1200,-621, FlightAware ADS-B (XSP / WSSL)
Wed 02:00:51 PM,1.3077,103.96,↗ 24°,125,144,1025,-656, FlightAware ADS-B (QPG / WSAP)
Wed 02:01:07 PM,1.3161,103.9635,↗ 22°,127,146,850,-656, FlightAware ADS-B (JHB / WMKJ)
Wed 02:01:23 PM,1.3248,103.9672,↗ 23°,129,148,675,-656, FlightAware ADS-B (WSAC)
Wed 02:01:39 PM,1.3341,103.9712,↗ 23°,129,148,500,-656, FlightAware ADS-B (SIN / WSSS)
Wed 02:01:55 PM,1.3435,103.9751,↗ 23°,130,150,325,-656, FlightAware ADS-B (TGA / WSAT)
Wed 02:02:26 PM    Arrival (SIN) @ Wednesday 02:02:26 PM +08,,,,,,,, FlightAware
Taxi Time: 11 minutes,,,,,,,,
Wed 02:14:00 PM    Gate Arrival (SIN) @ Wednesday 02:14:00 PM +08,,,,,,,, Airline
,,,,,,,,
Tue 12:55:00 PM    Left Gate (KUL) @ Tuesday 12:55:00 PM +08,,,,,,,, Airline
Taxi Time: 15 minutes,,,,,,,,
Tue 01:10:30 PM    Departure (KUL) @ Tuesday 01:10:30 PM +08,,,,,,,, Surface and Near-Surface
Tue 01:10:30 PM,2.7373,101.6782,↖ 326°,165,190,350,, Surface and Near-Surface
Tue 01:10:50 PM,2.7503,101.6697,↖ 326°,177,204,900,1421, FlightAware ADS-B (KUL / WMKK)
Tue 01:11:08 PM,2.7612,101.6581,← 296°,201,231,1250,943, FlightAware ADS-B (KUL / WMKK)
Tue 01:11:25 PM,2.7639,101.6414,← 270°,232,267,1450,1500, FlightAware ADS-B (SZB / WMSA)
